algo,run_tag,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,noise03,1,25000,2.5,2.075,0.0,0.0,,0.22479350407587878,0.22419806498576858
ddpg,noise03,1,50000,5.0,5.816666666666666,0.0,0.0,,0.22976129052336755,0.2197873239797956
ddpg,noise03,1,75000,7.5,9.733333333333333,0.0,0.0,,0.17433523044685478,0.15511384025884556
ddpg,noise03,1,100000,10.0,13.55,0.0,0.0,,0.18711936719475017,0.1719085497304744
ddpg,noise03,1,125000,12.5,17.025,0.0,0.0,,0.20376392843351643,0.20065723721578066
ddpg,noise03,1,150000,15.0,20.5,0.0,0.0,,0.15536681892924573,0.13657574951430057
ddpg,noise03,1,175000,17.5,23.958333333333332,0.0,0.0,,0.14896336954457765,0.14682671522661767
ddpg,noise03,1,200000,20.0,27.483333333333334,0.0,0.0,,0.11615430732713283,0.10188080533668423
ddpg,noise03,1,225000,22.5,30.983333333333334,0.1,0.1,88.0,0.09514999241868377,0.09470631303520399
ddpg,noise03,1,250000,25.0,34.71666666666667,0.2,0.2,84.5,0.0924046703666897,0.07573148141659566
ddpg,noise03,1,275000,27.5,38.525,0.2,0.2,88.0,0.05219718804415413,0.049642121610553876
ddpg,noise03,1,300000,30.0,42.21666666666667,0.2,0.2,93.5,0.049421770513143906,0.04782038444538864
ddpg,noise03,1,325000,32.5,45.775,0.2,0.2,84.0,0.07325428922729368,0.06723935071214794
ddpg,noise03,1,350000,35.0,49.416666666666664,0.0,0.0,,0.09989582174762442,0.09839107057537201
ddpg,noise03,1,375000,37.5,53.28333333333333,0.1,0.1,100.0,0.047205895133732946,0.047205895133732946
ddpg,noise03,1,400000,40.0,56.95,0.0,0.0,,0.06486567353093317,0.06486567353093317
ddpg,noise03,1,425000,42.5,60.56666666666667,0.0,0.0,,0.08838287196803594,0.08838287196803594
ddpg,noise03,1,450000,45.0,64.11666666666666,0.6,0.6,86.33333333333333,0.03406829308885771,0.02731428197269019
ddpg,noise03,1,475000,47.5,67.7,0.0,0.0,,0.10376004860629351,0.09054531157466159
ddpg,noise03,1,500000,50.0,71.28333333333333,0.0,0.0,,0.10276681960275898,0.1014646182475912
ddpg,noise03,1,525000,52.5,74.86666666666666,0.0,0.0,,0.08896883039366174,0.08896883039366174
ddpg,noise03,1,550000,55.0,78.48333333333333,0.0,0.0,,0.11086620638397482,0.10645265976997402
ddpg,noise03,1,575000,57.5,82.05,0.3,0.3,94.66666666666667,0.08299414260341711,0.08299414260341711
ddpg,noise03,1,600000,60.0,85.68333333333334,0.1,0.1,88.0,0.07714287750973146,0.06636330751029826
ddpg,noise03,1,625000,62.5,89.3,0.0,0.0,,0.22688422811320125,0.22688422811320125
ddpg,noise03,1,650000,65.0,92.83333333333333,0.0,0.0,,0.22688422811320125,0.22688422811320125
ddpg,noise03,1,675000,67.5,96.40833333333333,0.0,0.0,,0.16769169981922927,0.15584679854059133
ddpg,noise03,1,700000,70.0,100.0,0.0,0.0,,0.2072112646432728,0.20652089911634725
ddpg,noise03,1,725000,72.5,103.65,0.0,0.0,,0.13864088557792348,0.13112059181995434
ddpg,noise03,1,750000,75.0,107.26666666666667,0.0,0.0,,0.24205472826925645,0.21163891160146336
ddpg,noise03,1,775000,77.5,110.91666666666667,0.0,0.0,,0.1417997877959927,0.13393099997735017
ddpg,noise03,1,800000,80.0,114.56666666666666,0.0,0.0,,0.10552706835077692,0.10552706835077692
ddpg,noise03,1,825000,82.5,118.18333333333334,0.1,0.1,100.0,0.08087845505599887,0.08087845505599887
ddpg,noise03,1,850000,85.0,121.85,0.0,0.0,,0.11869096163099217,0.11466556821093318
ddpg,noise03,1,875000,87.5,125.48333333333333,0.0,0.0,,0.07849690828337226,0.06117568290971507
ddpg,noise03,1,900000,90.0,129.21666666666667,0.0,0.0,,0.0884243038832337,0.0865705748967089
ddpg,noise03,1,925000,92.5,132.91666666666666,0.0,0.0,,0.20157140796483947,0.20157126820304958
ddpg,noise03,1,950000,95.0,136.61666666666667,0.0,0.0,,0.19094500179463375,0.17966810155315965
ddpg,noise03,1,975000,97.5,140.28333333333333,0.0,0.0,,0.18362783517919984,0.18255666656043942
ddpg,noise03,1,1000000,100.0,144.01666666666668,0.0,0.0,,0.1086450480698246,0.10667448826306544
ddpg,noise03,2,25000,2.5,2.075,0.0,0.0,,0.22686264946235163,0.22686264946235163
ddpg,noise03,2,50000,5.0,5.816666666666666,0.0,0.0,,0.23349592564025506,0.21158435654426647
