algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
sac,1,25000,8.333333333333334,1.6333333333333333,0.0,0.0,,0.052065695727539316,0.04967843470057983
sac,1,50000,16.666666666666668,4.316666666666666,0.2,0.5,19.5,0.03270807279232381,0.021689362840876764
sac,1,75000,25.0,7.016666666666667,0.3,0.6,19.0,0.025964272628081153,0.017476440117474255
sac,1,100000,33.333333333333336,9.716666666666667,0.5,0.8,19.2,0.020073439359680766,0.01432083115236519
sac,1,125000,41.666666666666664,12.583333333333334,0.4,0.9,17.75,0.013617319280733065,0.012571189181548068
sac,1,150000,50.0,15.383333333333333,0.5,1.0,17.6,0.01065077896164515,0.00957986727913404
sac,1,175000,58.333333333333336,18.116666666666667,0.6,0.9,18.166666666666668,0.009436825145532908,0.007045793675652308
sac,1,200000,66.66666666666667,20.9,0.5,0.9,18.4,0.01114671617690828,0.00845301475039758
sac,1,225000,75.0,23.733333333333334,0.4,1.0,18.0,0.009741126734162999,0.008545824163719342
sac,1,250000,83.33333333333333,26.55,0.9,1.0,18.88888888888889,0.007987960365519853,0.0063676775226284565
sac,1,275000,91.66666666666667,29.383333333333333,0.9,1.0,18.0,0.007368934324497173,0.005548912583787273
sac,1,300000,100.0,32.35,0.7,1.0,18.285714285714285,0.005106103329423968,0.0034362515718834195
sac,2,25000,8.333333333333334,1.7833333333333334,0.0,0.3,,0.031577195277162344,0.028779546704904364
sac,2,50000,16.666666666666668,4.75,0.1,0.7,20.0,0.03004503594421437,0.018922576351930537
sac,2,75000,25.0,7.783333333333333,0.3,0.5,17.333333333333332,0.02357245285025013,0.018874981750098985
sac,2,100000,33.333333333333336,10.766666666666667,0.4,0.8,18.5,0.01610753634364977,0.013157665121066503
sac,2,125000,41.666666666666664,13.783333333333333,0.1,1.0,19.0,0.020879569559725315,0.009959944214197651
sac,2,150000,50.0,16.766666666666666,0.5,1.0,18.2,0.012148367400925335,0.008762784657394553
sac,2,175000,58.333333333333336,19.783333333333335,0.5,1.0,18.6,0.010284216401990997,0.008931507431086881
sac,2,200000,66.66666666666667,22.816666666666666,0.8,1.0,18.5,0.008056500167913669,0.005187346000266066
sac,2,225000,75.0,25.833333333333332,0.6,1.0,17.833333333333332,0.008200699332442888,0.006410216834295784
sac,2,250000,83.33333333333333,28.866666666666667,0.8,1.0,18.625,0.00587290481294726,0.0048716825491787585
sac,2,275000,91.66666666666667,31.916666666666668,0.9,1.0,18.22222222222222,0.005518230990816556,0.0038368050221242083
sac,2,300000,100.0,34.95,0.8,1.0,17.875,0.005784998583073518,0.003347043123543925
sac,3,25000,8.333333333333334,2.6,0.0,0.0,,0.07808274305286995,0.06305991683772978
sac,3,50000,16.666666666666668,6.7,0.1,0.6,18.0,0.035510740605913485,0.021872460953751276
sac,3,75000,25.0,10.966666666666667,0.2,0.6,18.0,0.032495553042391455,0.018972472457824904
sac,3,100000,33.333333333333336,15.083333333333334,0.5,0.8,19.0,0.023082305500813277,0.011137679459239928
sac,3,125000,41.666666666666664,19.116666666666667,0.4,0.7,19.25,0.015729343636047784,0.011731945658832819
sac,3,150000,50.0,22.983333333333334,0.5,0.8,18.4,0.012735726486240526,0.010237661446494638
sac,3,175000,58.333333333333336,26.85,0.4,1.0,18.25,0.011132118588600835,0.010633237701789207
sac,3,200000,66.66666666666667,30.7,0.8,1.0,18.75,0.008885695670941433,0.006048465743463396
sac,3,225000,75.0,34.55,0.5,1.0,17.0,0.008234850647239455,0.006368860399101765
sac,3,250000,83.33333333333333,38.4,0.6,1.0,18.333333333333332,0.007143642123132991,0.006563763017445633
sac,3,275000,91.66666666666667,42.5,0.6,1.0,18.0,0.005488910761169729,0.004011526991033779
sac,3,300000,100.0,46.53333333333333,0.8,1.0,18.125,0.007104336731654008,0.005640657638693756
sac,4,25000,8.333333333333334,2.6,0.0,0.0,,0.05662408729613631,0.05203475491253488
sac,4,50000,16.666666666666668,6.716666666666667,0.3,0.6,17.0,0.037591790887491816,0.02602358395374555
sac,4,75000,25.0,11.0,0.5,1.0,19.4,0.0117930189219435,0.007467960169850319
sac,4,100000,33.333333333333336,15.116666666666667,0.3,0.9,19.333333333333332,0.009977688105351202,0.007393093876835626
sac,4,125000,41.666666666666664,19.15,0.3,1.0,19.666666666666668,0.009790771386055776,0.0075196681449374745
sac,4,150000,50.0,23.033333333333335,0.4,1.0,18.0,0.011468539195308667,0.009230813201156337
sac,4,175000,58.333333333333336,26.9,0.4,1.0,17.75,0.009646268864233466,0.008099963368347434
sac,4,200000,66.66666666666667,30.75,0.6,1.0,18.5,0.00858756349564985,0.0070762024785971335
sac,4,225000,75.0,34.63333333333333,0.6,1.0,18.166666666666668,0.008394020682346655,0.007272348254356888
sac,4,250000,83.33333333333333,38.516666666666666,0.7,1.0,18.857142857142858,0.008157360642225766,0.006519320221003955
sac,4,275000,91.66666666666667,42.65,1.0,1.0,18.5,0.005999331717517296,0.004847215491982105
sac,4,300000,100.0,46.61666666666667,0.8,1.0,18.5,0.007298685290641808,0.005436802840987412
sac,5,25000,8.333333333333334,2.6,0.1,0.2,19.0,0.06114588328576857,0.038153578882950574
sac,5,50000,16.666666666666668,6.733333333333333,0.3,0.7,16.333333333333332,0.03600848271375758,0.017844800949039563
sac,5,75000,25.0,11.0,0.4,0.6,19.0,0.028966651651767428,0.022157730793259063
sac,5,100000,33.333333333333336,15.116666666666667,0.3,0.5,18.333333333333332,0.01956386374528244,0.016631554418977342
sac,5,125000,41.666666666666664,19.133333333333333,0.2,1.0,18.5,0.010874497540971962,0.009188839120366405
sac,5,150000,50.0,22.983333333333334,0.5,1.0,17.4,0.010552724843786951,0.007667865305382898
sac,5,175000,58.333333333333336,26.883333333333333,0.7,1.0,17.714285714285715,0.008397723942269928,0.006249563844863344
sac,5,200000,66.66666666666667,30.7,0.7,0.9,18.0,0.01073749199273894,0.006482723584489873
sac,5,225000,75.0,34.53333333333333,0.8,0.9,18.25,0.010491232278878885,0.006863477876258022
sac,5,250000,83.33333333333333,38.4,0.7,1.0,18.285714285714285,0.0061841849486662355,0.003229710386866323
sac,5,275000,91.66666666666667,42.516666666666666,0.8,1.0,18.875,0.006202373854055246,0.004198848686086429
sac,5,300000,100.0,46.53333333333333,0.8,1.0,18.0,0.005591337771782284,0.003091766271224081
ppo,0,25000,0.7142857142857143,0.2833333333333333,0.0,0.1,,0.14433696520341305,0.07430139998003896
ppo,0,50000,1.4285714285714286,0.5333333333333333,0.1,0.3,18.0,0.1420529174637244,0.07148743783054891
ppo,0,75000,2.142857142857143,0.8247395833333333,0.1,0.4,20.0,0.1330785118513159,0.026251342578697025
ppo,0,100000,2.857142857142857,1.0833333333333333,0.0,0.0,,0.14518011712099632,0.0947184985850561
ppo,0,125000,3.5714285714285716,1.3666666666666667,0.0,0.3,,0.11163676621682565,0.05960453251271487
ppo,0,150000,4.285714285714286,1.6333333333333333,0.0,0.2,,0.08148329152019855,0.05597186595298487
ppo,0,175000,5.0,1.91328125,0.0,0.2,,0.06622504325058437,0.04529015383560898
ppo,0,200000,5.714285714285714,2.1666666666666665,0.0,0.3,,0.041078867377016125,0.041070518694326076
ppo,0,225000,6.428571428571429,2.45,0.0,0.6,,0.038406363415771326,0.033899329040808744
ppo,0,250000,7.142857142857143,2.716666666666667,0.0,0.6,,0.026570116136120463,0.019336156270133298
ppo,0,275000,7.857142857142857,3.0,0.0,0.5,,0.051559464269649614,0.029919929604699365
ppo,0,300000,8.571428571428571,3.2489583333333334,0.0,0.6,,0.02689410839027459,0.01871123231269935
ppo,0,325000,9.285714285714286,3.5078125,0.0,0.7,,0.02386434296989594,0.01835970167433134
ppo,0,350000,10.0,3.793229166666667,0.0,0.7,,0.01940043294339484,0.018593075406858207
ppo,0,375000,10.714285714285714,4.040364583333333,0.0,0.7,,0.01748241602281295,0.015858109074527962
ppo,0,400000,11.428571428571429,4.316666666666666,0.0,0.6,,0.03727429592622018,0.03131823599803276
ppo,0,425000,12.142857142857142,4.583333333333333,0.0,0.7,,0.017563669702394855,0.01679991334963327
ppo,0,450000,12.857142857142858,4.866666666666666,0.0,0.7,,0.020017233851767437,0.016767064794869176
ppo,0,475000,13.571428571428571,5.116666666666666,0.0,0.7,,0.01945583449439793,0.01350756674542187
ppo,0,500000,14.285714285714286,5.392708333333333,0.0,0.7,,0.02260421631028312,0.01773998619601802
ppo,0,525000,15.0,5.633333333333334,0.0,0.7,,0.024859005413357692,0.01867806270709024
ppo,0,550000,15.714285714285714,5.916666666666667,0.0,0.7,,0.01977601214238497,0.015581604730095584
ppo,0,575000,16.428571428571427,6.166666666666667,0.0,0.8,,0.022151441923696946,0.016214183689405436
ppo,0,600000,17.142857142857142,6.433333333333334,0.0,0.8,,0.012604259175922275,0.011320721880510528
ppo,0,625000,17.857142857142858,6.683333333333334,0.0,0.7,,0.02320705628269542,0.018224176947022153
ppo,0,650000,18.571428571428573,6.95,0.0,1.0,,0.011011100926043226,0.009981016157838415
ppo,0,675000,19.285714285714285,7.2,0.0,0.9,,0.013504712667309982,0.00934938621041834
ppo,0,700000,20.0,7.483333333333333,0.0,1.0,,0.016130634677148096,0.007413530096660017
ppo,0,725000,20.714285714285715,7.733333333333333,0.0,0.9,,0.018369228951308686,0.011282415669935373
ppo,0,750000,21.428571428571427,8.0,0.0,1.0,,0.013572178370677802,0.005638076094671414
ppo,0,775000,22.142857142857142,8.25,0.0,0.8,,0.014098687862382511,0.009010324453955419
ppo,0,800000,22.857142857142858,8.516666666666667,0.0,1.0,,0.013493418941927626,0.006184717454382703
ppo,0,825000,23.571428571428573,8.75546875,0.0,0.9,,0.01475069145594216,0.010023917206021098
ppo,0,850000,24.285714285714285,9.033333333333333,0.0,1.0,,0.011476578923877233,0.0051303374728858655
ppo,0,875000,25.0,9.283333333333333,0.0,1.0,,0.012680835123008974,0.0044602371925808425
ppo,0,900000,25.714285714285715,9.566666666666666,0.1,1.0,20.0,0.012458270304483269,0.006686028529179926
ppo,0,925000,26.428571428571427,9.8,0.0,0.9,,0.01452396495929802,0.009244241260531453
ppo,0,950000,27.142857142857142,10.074479166666666,0.0,1.0,,0.010937686433606673,0.0067457331188802965
ppo,0,975000,27.857142857142858,10.321614583333334,0.0,0.9,,0.014574107342665604,0.008599173051288983
ppo,0,1000000,28.571428571428573,10.6,0.1,0.9,19.0,0.013687189247404424,0.010139943895368146
ppo,0,1100000,31.428571428571427,11.657291666666667,0.1,0.9,19.0,0.015618258374270189,0.008816684538081635
